image_id,r,c,direction_id,direction_seed,gain,stability_score_if_available
cifar10_00000_cat,12,20,1,322,0.6879760026931763,1.1912082433700562
cifar10_00000_cat,17,28,1,322,0.8355602025985718,0.9001004695892334
cifar10_00000_cat,1,25,1,322,0.8581271171569824,0.8459134101867676
cifar10_00000_cat,10,27,1,322,0.8168920278549194,1.1541520357131958
cifar10_00000_cat,21,21,1,322,0.998726487159729,1.7607669830322266
cifar10_00000_cat,27,26,1,322,0.9223828315734863,0.9931671619415283
cifar10_00000_cat,22,26,1,322,0.6073955297470093,1.4478704929351807
cifar10_00000_cat,1,17,1,322,0.8914999961853027,0.45543229579925537
cifar10_00000_cat,9,20,1,322,0.6942582130432129,1.3496835231781006
cifar10_00000_cat,12,9,1,322,0.6774501800537109,1.1470861434936523
cifar10_00000_cat,6,11,1,322,0.7207722067832947,0.7623378038406372
cifar10_00000_cat,20,15,1,322,0.731320858001709,1.4420002698898315
cifar10_00000_cat,28,27,1,322,0.7216455936431885,1.2789459228515625
cifar10_00000_cat,31,25,1,322,0.8790419101715088,1.6815179586410522
cifar10_00000_cat,14,25,1,322,0.8847965002059937,1.2731518745422363
cifar10_00000_cat,26,30,1,322,0.86187744140625,1.639894962310791
cifar10_00000_cat,4,14,1,322,0.8144379258155823,0.7990192174911499
cifar10_00000_cat,6,29,1,322,0.5673425197601318,0.7800648212432861
cifar10_00000_cat,26,17,1,322,0.957223653793335,1.4791371822357178
cifar10_00000_cat,20,10,1,322,0.5751310586929321,1.812209129333496
cifar10_00000_cat,12,23,1,322,0.920243501663208,1.0762922763824463
cifar10_00000_cat,27,13,1,322,0.8323661088943481,1.5909699201583862
cifar10_00000_cat,8,20,1,322,0.8292779922485352,1.375352382659912
cifar10_00000_cat,26,23,1,322,0.6247698068618774,0.8825098276138306
cifar10_00000_cat,7,13,1,322,0.6963561773300171,1.542151689529419
cifar10_00000_cat,30,30,1,322,0.7751274108886719,1.4889719486236572
cifar10_00000_cat,8,1,1,322,0.8676388263702393,1.5184776782989502
