epsilon,image_index,class_index,class_name,bit_accuracy,psnr,ssim,lpips
2.0,201,6,frog,95.0,39.067580139579505,0.9778831358005219,0.03461115062236786
2.0,202,6,frog,90.0,40.013403298636625,0.9829446315324272,0.033001095056533813
2.0,203,6,frog,100.0,37.567224937248454,0.9801513620892335,0.018892977386713028
2.0,204,6,frog,100.0,37.20662427674999,0.9742898160317311,0.06583048403263092
2.0,205,6,frog,100.0,40.20110997627718,0.9733548469114779,0.026714138686656952
2.0,206,6,frog,95.0,39.32519628591402,0.9821103981832241,0.03060651198029518
2.0,207,6,frog,100.0,40.501757359007854,0.983518311523696,0.05219515785574913
2.0,208,6,frog,95.0,37.446278924054816,0.9804824932810293,0.04070756211876869
2.0,209,6,frog,100.0,37.85839892301158,0.9713014656326625,0.04346738010644913
2.0,210,7,horse,100.0,39.48267769113392,0.985640898288652,0.02065218612551689
2.0,211,7,horse,100.0,37.62011271272835,0.97871952290278,0.04712854325771332
2.0,212,7,horse,100.0,37.17732782155543,0.9808377947665535,0.040210939943790436
2.0,213,7,horse,100.0,38.25892399512022,0.9770631836956273,0.04483717679977417
2.0,214,7,horse,95.0,37.667021039427645,0.9716287824064457,0.04352928325533867
2.0,215,7,horse,90.0,40.906273005454835,0.9784693793155154,0.019390249624848366
2.0,216,7,horse,100.0,37.0767794446249,0.9742268315435947,0.040785349905490875
2.0,217,7,horse,100.0,37.586792557622736,0.9764895283127455,0.04514102265238762
2.0,218,7,horse,100.0,39.78326515306991,0.9894474982562705,0.02414596453309059
2.0,219,7,horse,100.0,40.08922834400166,0.9890598798394398,0.03156306594610214
2.0,220,7,horse,100.0,37.95284951469857,0.9784255090335116,0.05241427943110466
2.0,221,7,horse,100.0,41.01887886711252,0.9867666890292345,0.015532092191278934
2.0,222,7,horse,100.0,37.470769036450136,0.9739649846048232,0.036537036299705505
2.0,223,7,horse,100.0,36.73910504945297,0.9729885535391848,0.032215505838394165
2.0,224,7,horse,100.0,38.90935378701237,0.9836767498454643,0.04571755975484848
2.0,225,7,horse,100.0,38.17311354917389,0.9826170230635439,0.03140902891755104
2.0,226,7,horse,95.0,38.20563539166719,0.9774020637586177,0.04198434203863144
2.0,227,7,horse,90.0,40.833113494570114,0.9821880985470437,0.013340771198272705
2.0,228,7,horse,100.0,38.35150785773563,0.9790302247652756,0.02434142865240574
2.0,229,7,horse,100.0,36.368459180669284,0.9772496771455015,0.05595261603593826
2.0,230,7,horse,95.0,39.50339809387486,0.9816640137544533,0.05426125228404999
2.0,231,7,horse,100.0,36.50417985363026,0.9806456630576225,0.03480684012174606
2.0,232,7,horse,100.0,38.399591419788166,0.9778937905601964,0.05706413835287094
2.0,233,7,horse,95.0,38.32881681031436,0.9846035545818127,0.04794587194919586
2.0,234,7,horse,100.0,39.692780132035594,0.9813423955608996,0.033144015818834305
2.0,235,7,horse,100.0,38.04253171036139,0.9802686112305304,0.04249357432126999
2.0,236,7,horse,95.0,37.57674957598053,0.9889555358992084,0.015231751836836338
2.0,237,7,horse,100.0,39.702888676396505,0.9853102786183991,0.04222014546394348
2.0,238,7,horse,100.0,37.21273827246256,0.9786324158895169,0.028486814349889755
2.0,239,7,horse,100.0,38.927899327014984,0.9823501245983368,0.04582653194665909
2.0,240,8,ship,95.0,38.84001257801147,0.9810491137023135,0.032192014157772064
2.0,241,8,ship,95.0,39.8973423082521,0.9843110799082976,0.04347017779946327
2.0,242,8,ship,100.0,36.77827688557534,0.9768321348220544,0.0386492945253849
2.0,243,8,ship,100.0,38.22443018836968,0.9817484329000975,0.02613527700304985
2.0,244,8,ship,100.0,39.96287109383344,0.9822374815122354,0.033996570855379105
2.0,245,8,ship,100.0,39.15529633435024,0.9837090626352653,0.034898556768894196
2.0,246,8,ship,85.0,40.17877984147863,0.9875545793782997,0.034251388162374496
2.0,247,8,ship,95.0,38.49127717862957,0.9857038089578339,0.03281059488654137
2.0,248,8,ship,95.0,40.02976933659039,0.9832943106927617,0.034301698207855225
2.0,249,8,ship,100.0,38.722034915235895,0.9876993512065338,0.049855150282382965
2.0,250,8,ship,100.0,39.144598331652574,0.9847045663592379,0.07429558038711548
2.0,251,8,ship,100.0,39.30985913229748,0.9822924059888644,0.029007254168391228
2.0,252,8,ship,100.0,36.809654165565235,0.975822178073407,0.025706127285957336
2.0,253,8,ship,95.0,38.13866534285574,0.9818041928364326,0.02673410251736641
2.0,254,8,ship,85.0,42.1042490665431,0.9894446474030459,0.029373683035373688
2.0,255,8,ship,95.0,39.95568928705226,0.9845079535069821,0.05392324924468994
2.0,256,8,ship,100.0,38.80514820436307,0.982568194307539,0.057393044233322144
2.0,257,8,ship,100.0,38.356781645174486,0.9796578466853579,0.0419292114675045
2.0,258,8,ship,100.0,40.0619173075206,0.9809639078365807,0.02761286497116089
2.0,259,8,ship,100.0,39.347507555729734,0.9843495636447454,0.02018030546605587
2.0,260,8,ship,90.0,37.98568289020115,0.9840161629967138,0.051134467124938965
2.0,261,8,ship,100.0,39.75706127833381,0.9836305174426462,0.0471174493432045
2.0,262,8,ship,100.0,39.61536057965025,0.985309813109258,0.020068541169166565
2.0,263,8,ship,95.0,38.14287197608658,0.9816828309709499,0.0577937476336956
2.0,264,8,ship,100.0,38.70229873422262,0.9826786898746226,0.048497237265110016
2.0,265,8,ship,95.0,39.245831577118835,0.9846479084614908,0.032150015234947205
2.0,266,8,ship,95.0,39.48313942864582,0.9860416263111743,0.07558999955654144
2.0,267,8,ship,100.0,39.86501575918206,0.9856784424578581,0.03452444076538086
2.0,268,8,ship,100.0,37.43388314560833,0.9800907924146425,0.03634641319513321
2.0,269,8,ship,95.0,39.03510715960026,0.9826960272616038,0.04155963286757469
2.0,270,9,truck,100.0,37.38742377702205,0.9785258501650206,0.0340338870882988
2.0,271,9,truck,100.0,37.657771962973435,0.9734681008704476,0.03552735224366188
2.0,272,9,truck,95.0,36.058988085231135,0.9672567719124042,0.031922049820423126
2.0,273,9,truck,100.0,37.90939322565304,0.9828223847377177,0.04289650544524193
2.0,274,9,truck,100.0,40.46352445606411,0.9854800778018338,0.025311877951025963
2.0,275,9,truck,100.0,35.902083337822575,0.970417714899441,0.04183356836438179
2.0,276,9,truck,100.0,37.74114984523722,0.9816195530409974,0.03843060880899429
2.0,277,9,truck,100.0,38.39145388543539,0.9768393274413637,0.04154687374830246
2.0,278,9,truck,100.0,39.14787209670711,0.9801448806332007,0.030530815944075584
2.0,279,9,truck,100.0,37.57256714708156,0.978074561998589,0.06265588104724884
2.0,280,9,truck,100.0,38.71643696559951,0.9818110349094352,0.029711656272411346
2.0,281,9,truck,95.0,35.74871267358673,0.9665330894772578,0.03679902106523514
2.0,282,9,truck,100.0,38.37868238977539,0.9799186926841235,0.0261234138160944
2.0,283,9,truck,100.0,38.43011150574487,0.9802296486495145,0.029309991747140884
2.0,284,9,truck,100.0,39.557167597203204,0.9801388798135169,0.03401258587837219
2.0,285,9,truck,100.0,40.87906969605377,0.9874845485645269,0.024171482771635056
2.0,286,9,truck,100.0,37.44370810963591,0.9807894547248853,0.03976236283779144
2.0,287,9,truck,100.0,36.69370550664191,0.9758506813461176,0.053112417459487915
2.0,288,9,truck,100.0,39.891348320390996,0.9852387003551116,0.04183594509959221
2.0,289,9,truck,95.0,38.258152902255645,0.9731009690909459,0.02723654918372631
2.0,290,9,truck,100.0,39.11585974768522,0.9841290800265933,0.026549767702817917
2.0,291,9,truck,100.0,39.525351917490504,0.9848469442536656,0.029952477663755417
2.0,292,9,truck,100.0,38.00499529970098,0.9794789719946536,0.03882113844156265
2.0,293,9,truck,100.0,37.54697693170671,0.9820803027550736,0.048435911536216736
2.0,294,9,truck,100.0,36.18422811002755,0.9775631687701054,0.0474064014852047
2.0,295,9,truck,95.0,36.55542427178016,0.9724867406976551,0.03708522021770477
2.0,296,9,truck,100.0,38.44309674683559,0.9828920054925315,0.023816416040062904
2.0,297,9,truck,80.0,41.42687457530344,0.9867941029712322,0.027791161090135574
2.0,298,9,truck,100.0,35.9364540326669,0.9725346977521765,0.03589038550853729
2.0,299,9,truck,100.0,37.426705970255604,0.9724668789838807,0.032448910176754
5.0,0,0,airplane,100.0,27.235576005413336,0.9417449239694683,0.28470107913017273
5.0,1,0,airplane,100.0,29.255188430946916,0.9559644448301355,0.22931885719299316
5.0,2,0,airplane,95.0,28.20437846569483,0.9597860269292907,0.17547547817230225
5.0,3,0,airplane,100.0,27.750449865603084,0.9484011890759806,0.268041729927063
